Date,Open,High,Low,Close,Adjusted_close,Volume
2025-04-07,0.8,0.845,0.785,0.835,0.835,13359075
2025-04-08,0.835,0.9,0.835,0.875,0.875,9798700
2025-04-09,0.865,0.88,0.84,0.845,0.845,5472487
2025-04-10,0.92,0.96,0.915,0.955,0.955,12129874
2025-04-11,0.91,0.925,0.865,0.89,0.89,9900892
2025-04-14,0.97,1.0425,0.97,1.035,1.035,19534861
2025-04-15,1.05,1.165,1.045,1.135,1.135,24546466
2025-04-16,1.1,1.145,1.09,1.13,1.13,11785764
2025-04-17,1.09,1.165,1.09,1.15,1.15,8386049
2025-04-22,1.145,1.215,1.14,1.2,1.2,14202205
2025-04-23,1.21,1.25,1.18,1.21,1.21,16402474
2025-04-24,1.205,1.23,1.155,1.205,1.205,13373524
2025-04-28,1.22,1.32,1.22,1.25,1.25,20698690
2025-04-29,1.255,1.34,1.23,1.335,1.335,11849735
2025-04-30,1.32,1.365,1.28,1.34,1.34,13424554
2025-05-01,1.335,1.35,1.23,1.26,1.26,11649565
2025-05-02,1.275,1.325,1.25,1.32,1.32,9297277
2025-05-05,1.36,1.38,1.32,1.32,1.32,7957834
2025-05-06,1.32,1.345,1.3,1.305,1.305,4763508
2025-05-07,1.285,1.29,1.205,1.28,1.28,11387775
2025-05-08,1.29,1.315,1.22,1.24,1.24,7332935
2025-05-09,1.24,1.38,1.2325,1.355,1.355,19263209
2025-05-12,1.33,1.43,1.325,1.42,1.42,17183078
2025-05-13,1.44,1.45,1.3225,1.325,1.325,13244948
2025-05-14,1.355,1.375,1.27,1.285,1.285,7063024
2025-05-15,1.285,1.3425,1.28,1.3,1.3,6725279
2025-05-16,1.315,1.325,1.28,1.29,1.29,4385933
2025-05-19,1.3,1.315,1.215,1.23,1.23,7266263
2025-05-20,1.25,1.27,1.175,1.22,1.22,5373463
2025-05-21,1.245,1.245,1.16,1.18,1.18,6280925
2025-05-22,1.18,1.23,1.175,1.225,1.225,4482945
2025-05-23,1.235,1.25,1.2,1.205,1.205,3543193
2025-05-26,1.2,1.215,1.165,1.17,1.17,4662586
2025-05-27,1.18,1.225,1.17,1.19,1.19,3558669
2025-05-28,1.225,1.26,1.185,1.225,1.225,7929098
2025-05-29,1.215,1.335,1.215,1.29,1.29,13831640
2025-05-30,1.305,1.32,1.255,1.315,1.315,7248981
2025-06-02,1.305,1.365,1.27,1.28,1.28,8564784
2025-06-03,1.325,1.41,1.24,1.4,1.4,16089278
2025-06-04,1.4,1.6,1.4,1.575,1.575,26880626
2025-06-05,1.595,1.6675,1.575,1.63,1.63,20953008
2025-06-06,1.645,1.645,1.5075,1.545,1.545,17110513
2025-06-10,1.6,1.655,1.515,1.645,1.645,17083313
2025-06-11,1.62,1.705,1.565,1.605,1.605,12505230
2025-06-12,1.63,1.74,1.6,1.725,1.725,11902478
2025-06-13,1.68,1.7475,1.635,1.7,1.7,11076278
2025-06-16,1.75,1.805,1.7125,1.77,1.77,13507370
2025-06-17,1.8,1.93,1.795,1.88,1.88,18307744
2025-06-18,1.92,1.92,1.805,1.845,1.845,11158701
2025-06-19,1.86,1.87,1.78,1.81,1.81,8839260
2025-06-20,1.825,1.925,1.785,1.91,1.91,18130010
